画像ファイル名,一次粒子ID,二次粒子ID,粒子形態,Lmajor[um],Lminor[um],L[um],Lmean[um],n,Agg.,Area[um^2]
moge.png,"46,47,48,49,50,51,52",8,secondary,376.739,235.666,,,,,
fuge.png,53,9,primary,107.779,116.507,,,,,
fuge.png,54,9,primary,98.315,52.098,,,,,
fuge.png,55,9,primary,90.464,67.314,,,,,
fuge.png,56,9,primary,89.812,46.549,,,,,
fuge.png,57,9,primary,81.912,89.08,,,,,
fuge.png,58,9,primary,83.51,51.902,,,,,
fuge.png,59,9,primary,100.96,83.797,,,,,
fuge.png,60,9,primary,60.715,58.846,,,,,
fuge.png,"53,54,55,56,57,58,59,60",9,secondary,509.713,258.656,,,,,
fuge.png,61,10,primary,77.735,52.439,,,,,
fuge.png,62,10,primary,86.278,88.655,,,,,
fuge.png,63,10,primary,83.611,88.975,,,,,
fuge.png,64,10,primary,105.677,72.968,,,,,
fuge.png,65,10,primary,121.665,79.367,,,,,
fuge.png,66,10,primary,46.424,66.052,,,,,
fuge.png,"61,62,63,64,65,66",10,secondary,364.337,206.18,,,,,
piga.png,67,11,primary,142.641,197.43,,,,,
piga.png,68,11,primary,101.347,64.635,,,,,
piga.png,69,11,primary,77.212,55.739,,,,,
piga.png,70,11,primary,66.079,43.779,,,,,
piga.png,71,11,primary,102.704,97.255,,,,,
piga.png,"67,68,69,70,71",11,secondary,330.391,223.613,,,,,
piga.png,72,12,primary,138.811,66.019,,,,,
piga.png,73,12,primary,103.067,87.197,,,,,
piga.png,74,12,primary,68.934,65.129,,,,,
piga.png,75,12,primary,91.812,50.246,,,,,
piga.png,76,12,primary,88.695,98.238,,,,,
piga.png,"72,73,74,75,76",12,secondary,297.804,263.956,,,,,
piga.png,77,13,primary,150.991,191.569,,,,,
piga.png,78,13,primary,92.155,55.89,,,,,
piga.png,79,13,primary,52.744,49.253,,,,,
piga.png,"77,78,79",13,secondary,352.373,190.89,,,,,
yoyo.png,80,14,primary,59.411,75.604,,,,,
yoyo.png,81,14,primary,65.484,73.624,,,,,
yoyo.png,82,14,primary,67.644,67.016,,,,,
yoyo.png,83,14,primary,79.305,38.695,,,,,
yoyo.png,84,14,primary,69.243,27.508,,,,,
yoyo.png,85,14,primary,76.447,38.407,,,,,
yoyo.png,"80,81,82,83,84,85",14,secondary,222.292,194.173,,,,,
yoyo.png,86,15,primary,135.199,79.909,,,,,
yoyo.png,87,15,primary,125.915,102.13,,,,,
yoyo.png,88,15,primary,96.925,55.475,,,,,
yoyo.png,89,15,primary,98.888,102.339,,,,,
yoyo.png,"86,87,88,89",15,secondary,321.716,257.017,,,,,
hoho.png,90,16,primary,89.32,77.218,,,,,
hoho.png,91,16,primary,123.776,82.388,,,,,
hoho.png,92,16,primary,70.08,69.705,,,,,
hoho.png,93,16,primary,46.854,38.902,,,,,
hoho.png,94,16,primary,41.782,39.096,,,,,
hoho.png,"90,91,92,93,94",16,secondary,245.494,195.452,,,,,
hoho.png,95,17,primary,133.118,65.375,,,,,
hoho.png,96,17,primary,61.103,69.231,,,,,
hoho.png,97,17,primary,153.377,44.174,,,,,
hoho.png,98,17,primary,92.925,64.165,,,,,
hoho.png,99,17,primary,59.103,67.175,,,,,
hoho.png,100,17,primary,91.067,62.982,,,,,
hoho.png,101,17,primary,96.312,48.202,,,,,
hoho.png,"95,96,97,98,99,100,101",17,secondary,427.958,210.776,,,,,
fufu.png,102,18,primary,68.194,43.626,,,,,
fufu.png,103,18,primary,53.705,47.175,,,,,
fufu.png,104,18,primary,43.031,39.907,,,,,
fufu.png,105,18,primary,125.074,78.951,,,,,
fufu.png,106,18,primary,125.49,47.213,,,,,
fufu.png,"102,103,104,105,106",18,secondary,274.754,229.538,,,,,
fufu.png,107,19,primary,121.946,101.746,,,,,
fufu.png,108,19,primary,86.972,66.261,,,,,
fufu.png,109,19,primary,71.033,79.367,,,,,
fufu.png,110,19,primary,81.229,71.133,,,,,
fufu.png,"107,108,109,110",19,secondary,311.412,204.67,,,,,
fufu.png,111,20,primary,133.539,73.69,,,,,
fufu.png,112,20,primary,48.11,34.551,,,,,
fufu.png,113,20,primary,38.314,46.068,,,,,
fufu.png,114,20,primary,68.064,58.952,,,,,
fufu.png,"111,112,113,114",20,secondary,220.91,160.532,,,,,
miyo.png,115,21,primary,91.52,47.934,,,,,
miyo.png,116,21,primary,64.387,66.214,,,,,
miyo.png,117,21,primary,68.779,62.564,,,,,
miyo.png,118,21,primary,92.872,57.119,,,,,
miyo.png,119,21,primary,83.972,47.326,,,,,
miyo.png,"115,116,117,118,119",21,secondary,264.916,234.812,,,,,
miyo.png,120,22,primary,127.705,113.146,,,,,
miyo.png,121,22,primary,77.632,56.121,,,,,
miyo.png,122,22,primary,72.208,85.36,,,,,
miyo.png,123,22,primary,103.412,57.182,,,,,
miyo.png,124,22,primary,124.932,103.115,,,,,
miyo.png,125,22,primary,93.674,84.4,,,,,
miyo.png,"120,121,122,123,124,000",22,secondary,453.757,197.952,,,,,
yohu.png,126,23,primary,125.657,90.754,,,,,
yohu.png,127,23,primary,106.093,69.519,,,,,
yohu.png,128,23,primary,63.215,54.853,,,,,
yohu.png,129,23,primary,66.856,66.052,,,,,
yohu.png,"126,127,128,129",23,secondary,266.894,176.635,,,,,
yohu.png,130,24,primary,161.395,90.7,,,,,
yohu.png,131,24,primary,186.569,49.253,,,,,
yohu.png,132,24,primary,101.114,227.581,,,,,
yohu.png,133,24,primary,123.018,73.09,,,,,
yohu.png,134,24,primary,109.825,128.196,,,,,
yohu.png,"130,131,132,133,134",24,secondary,423.198,293.202,,,,,
yohu.png,135,25,primary,103.154,106.867,,,,,
yohu.png,136,25,primary,89.708,54.959,,,,,
yohu.png,137,25,primary,74.942,57.244,,,,,
yohu.png,138,25,primary,84.147,62.656,,,,,
yohu.png,139,25,primary,52.201,41.557,,,,,
yohu.png,"135,136,137,138,139",25,secondary,357.993,210.658,,,,,
hogu.png,140,26,primary,110.877,41.514,,,,,
hogu.png,141,26,primary,70.467,70.832,,,,,
hogu.png,142,26,primary,107.961,119.837,,,,,
hogu.png,143,26,primary,83.563,68.934,,,,,
hogu.png,144,26,primary,97.186,103.803,,,,,
hogu.png,145,26,primary,73.278,57.585,,,,,
hogu.png,"140,141,142,143,144,000",26,secondary,373.004,230.216,,,,,
hogu.png,146,27,primary,197.518,70.131,,,,,
hogu.png,147,27,primary,100.491,96.404,,,,,
hogu.png,148,27,primary,94.469,67.009,,,,,
hogu.png,149,27,primary,116.45,48.963,,,,,
hogu.png,150,27,primary,93.298,39.639,,,,,
hogu.png,"146,147,148,149,150",27,secondary,323.173,357.882,,,,,
pifu.png,151,28,primary,93.412,61.183,,,,,
pifu.png,152,28,primary,121.255,70.049,,,,,
pifu.png,153,28,primary,127.104,80.42,,,,,
pifu.png,154,28,primary,178.523,132.175,,,,,
pifu.png,"151,152,153,154",28,secondary,356.686,216.263,,,,,
pifu.png,155,29,primary,116.128,63.657,,,,,
pifu.png,156,29,primary,80.553,36.408,,,,,
pifu.png,157,29,primary,149.161,128.816,,,,,
pifu.png,158,29,primary,86.5,44.214,,,,,
pifu.png,"155,156,157,158",29,secondary,426.075,222.796,,,,,
momo.png,159,30,primary,116.972,82.857,,,,,
momo.png,160,30,primary,77.832,45.367,,,,,
momo.png,161,30,primary,130.957,85.833,,,,,
momo.png,162,30,primary,72.164,35.667,,,,,
momo.png,163,30,primary,77.901,78.538,,,,,
momo.png,164,30,primary,74.591,49.253,,,,,
momo.png,"159,160,161,162,163,000",30,secondary,456.413,181.635,,,,,
momo.png,165,31,primary,155.964,72.164,,,,,
momo.png,166,31,primary,63.468,64.931,,,,,
momo.png,167,31,primary,65.836,70.763,,,,,
momo.png,168,31,primary,112.661,112.313,,,,,
momo.png,169,31,primary,117.136,79.708,,,,,
momo.png,170,31,primary,104.355,103.824,,,,,
momo.png,171,31,primary,100.465,74.394,,,,,
momo.png,172,31,primary,150.991,127.695,,,,,
momo.png,"165,166,167,168,169,000,000,000",31,secondary,540.808,303.406,,,,,
haha.png,173,32,primary,174.712,74.609,,,,,
haha.png,174,32,primary,134.141,103.223,,,,,
haha.png,175,32,primary,58.498,43.401,,,,,
haha.png,176,32,primary,83.632,74.465,,,,,
haha.png,"173,174,175,176",32,secondary,316.081,255.034,,,,,
haha.png,177,33,primary,60.215,68.331,,,,,
haha.png,178,33,primary,73.618,73.041,,,,,
haha.png,179,33,primary,89.995,74.058,,,,,
haha.png,180,33,primary,91.369,70.939,,,,,
haha.png,181,33,primary,84.327,96.741,,,,,
haha.png,182,33,primary,55.699,52.107,,,,,
haha.png,"177,178,179,180,181,000",33,secondary,366.85,241.545,,,,,
fefe.png,183,34,primary,93.788,108.602,,,,,
fefe.png,184,34,primary,92.121,92.136,,,,,
fefe.png,185,34,primary,100.514,62.543,,,,,
fefe.png,186,34,primary,59.926,78.317,,,,,
fefe.png,187,34,primary,96.441,59.918,,,,,
fefe.png,188,34,primary,82.706,32.711,,,,,
fefe.png,189,34,primary,75.41,72.226,,,,,
fefe.png,"183,184,185,186,187,000,000",34,secondary,455.534,193.753,,,,,
fefe.png,190,35,primary,97.071,96.612,,,,,
fefe.png,191,35,primary,110.552,56.548,,,,,
fefe.png,192,35,primary,82.307,123.253,,,,,
fefe.png,193,35,primary,86.227,44.305,,,,,
fefe.png,194,35,primary,73.811,42.667,,,,,
fefe.png,195,35,primary,70.732,61.393,,,,,
fefe.png,"190,191,192,193,194,000",35,secondary,345.468,280.985,,,,,
gepi.png,196,36,primary,129.522,74.16,,,,,
gepi.png,197,36,primary,97.474,78.089,,,,,
gepi.png,198,36,primary,73.533,67.314,,,,,
gepi.png,199,36,primary,122.616,107.597,,,,,
gepi.png,200,36,primary,118.24,48.707,,,,,
gepi.png,201,36,primary,71.669,73.145,,,,,
gepi.png,202,36,primary,118.942,82.107,,,,,
gepi.png,203,36,primary,93.526,104.734,,,,,
gepi.png,204,36,primary,62.471,69.615,,,,,
gepi.png,205,36,primary,72.503,56.994,,,,,
gepi.png,"196,197,198,199,200,000,000,000,000,000",36,secondary,472.965,313.588,,,,,
gepi.png,206,37,primary,111.896,107.216,,,,,
gepi.png,207,37,primary,87.964,74.274,,,,,
gepi.png,208,37,primary,92.584,73.745,,,,,
gepi.png,209,37,primary,90.891,56.618,,,,,
gepi.png,210,37,primary,105.841,97.552,,,,,
gepi.png,211,37,primary,74.829,66.829,,,,,
gepi.png,"206,207,208,209,210,000",37,secondary,298.066,331.237,,,,,
pigo.png,212,38,primary,141.466,86.376,,,,,
pigo.png,213,38,primary,130.617,50.572,,,,,
pigo.png,214,38,primary,66.729,80.861,,,,,
pigo.png,215,38,primary,108.022,81.928,,,,,
pigo.png,216,38,primary,91.947,44.033,,,,,
pigo.png,"212,213,214,215,216",38,secondary,381.58,277.667,,,,,
pigo.png,217,39,primary,63.615,65.836,,,,,
pigo.png,218,39,primary,74.16,46.068,,,,,
pigo.png,219,39,primary,48.57,50.255,,,,,
pigo.png,220,39,primary,65.911,85.947,,,,,
pigo.png,221,39,primary,43.494,75.746,,,,,
pigo.png,222,39,primary,86.885,84.732,,,,,
pigo.png,223,39,primary,181.546,135.277,,,,,
pigo.png,224,39,primary,76.447,52.912,,,,,
pigo.png,225,39,primary,69.82,56.736,,,,,
pigo.png,226,39,primary,182.977,123.603,,,,,
pigo.png,"217,218,219,220,221,000,000,000,000,000",39,secondary,664.799,204.709,,,,,
fugo.png,227,40,primary,94.469,87.802,,,,,
fugo.png,228,40,primary,126.25,109.414,,,,,
fugo.png,"227,228",40,secondary,361.102,279.293,,,,,
fugo.png,229,41,primary,104.768,104.734,,,,,
fugo.png,230,41,primary,117.155,85.548,,,,,
fugo.png,231,41,primary,77.804,75.528,,,,,
fugo.png,232,41,primary,79.759,79.417,,,,,
fugo.png,233,41,primary,122.834,50.139,,,,,
fugo.png,"229,230,231,232,233",41,secondary,291.434,273.617,,,,,
fugo.png,234,42,primary,104.734,63.13,,,,,
fugo.png,235,42,primary,69.826,37.74,,,,,
fugo.png,236,42,primary,97.268,105.513,,,,,
fugo.png,237,42,primary,88.192,134.644,,,,,
fugo.png,"234,235,236,237",42,secondary,438.873,176.295,,,,,
pimo.png,238,43,primary,86.823,67.102,,,,,
pimo.png,239,43,primary,76.75,53.248,,,,,
pimo.png,240,43,primary,110.241,69.96,,,,,
pimo.png,241,43,primary,82.134,48.128,,,,,
pimo.png,242,43,primary,66.375,60.392,,,,,
pimo.png,243,43,primary,120.463,103.944,,,,,
pimo.png,244,43,primary,53.854,42.5,,,,,
pimo.png,"238,239,240,241,242,000,000",43,secondary,433.94,255.719,,,,,
pimo.png,245,44,primary,109.812,98.582,,,,,
pimo.png,246,44,primary,103.515,85.906,,,,,
pimo.png,247,44,primary,134.167,38.174,,,,,
pimo.png,248,44,primary,119.74,90.128,,,,,
pimo.png,249,44,primary,84.073,61.74,,,,,
pimo.png,250,44,primary,61.618,55.827,,,,,
pimo.png,251,44,primary,93.996,92.334,,,,,
pimo.png,252,44,primary,88.795,51.35,,,,,
pimo.png,"245,246,247,248,249,000,000,000",44,secondary,409.536,369.085,,,,,
mopi.png,253,45,primary,59.111,61.328,,,,,
mopi.png,254,45,primary,62.136,63.664,,,,,
mopi.png,255,45,primary,96.662,69.909,,,,,
mopi.png,256,45,primary,60.986,54.077,,,,,
mopi.png,257,45,primary,101.969,99.315,,,,,
mopi.png,258,45,primary,84.062,63.783,,,,,
mopi.png,259,45,primary,71.19,74.609,,,,,
mopi.png,"253,254,255,256,257,000,000",45,secondary,412.401,209.41,,,,,
mopi.png,260,46,primary,96.09,84.02,,,,,
mopi.png,261,46,primary,102.548,96.118,,,,,
mopi.png,262,46,primary,242.223,140.937,,,,,
mopi.png,263,46,primary,110.841,90.754,,,,,
mopi.png,264,46,primary,100.052,130.917,,,,,
mopi.png,265,46,primary,103.854,59.561,,,,,
mopi.png,"260,261,262,263,264,000",46,secondary,379.479,362.553,,,,,
pupu.png,266,47,primary,129.539,111.976,,,,,
pupu.png,267,47,primary,72.87,60.104,,,,,
pupu.png,268,47,primary,248.187,115.143,,,,,
pupu.png,269,47,primary,102.847,44.385,,,,,
pupu.png,270,47,primary,119.024,100.96,,,,,
pupu.png,271,47,primary,74.752,68.721,,,,,
pupu.png,272,47,primary,50.888,70.587,,,,,
pupu.png,273,47,primary,46.844,39.985,,,,,
pupu.png,274,47,primary,56.176,34.602,,,,,
pupu.png,275,47,primary,117.136,56.807,,,,,
pupu.png,276,47,primary,52.098,64.249,,,,,
pupu.png,"266,267,268,269,270,000,000,000,000,000,000",47,secondary,721.028,211.518,,,,,
pupu.png,277,48,primary,86.5,108.138,,,,,
pupu.png,278,48,primary,77.218,75.25,,,,,
pupu.png,279,48,primary,114.957,100.85,,,,,
pupu.png,280,48,primary,112.661,61.762,,,,,
pupu.png,281,48,primary,73.69,59.68,,,,,
pupu.png,"277,278,279,280,281",48,secondary,453.175,229.622,,,,,
gege.png,282,49,primary,108.158,83.114,,,,,
gege.png,283,49,primary,75.132,76.238,,,,,
gege.png,284,49,primary,119.84,94.652,,,,,
gege.png,285,49,primary,62.085,57.026,,,,,
gege.png,"282,283,284,285",49,secondary,309.977,197.844,,,,,
gege.png,286,50,primary,122.874,91.535,,,,,
gege.png,287,50,primary,104.746,104.848,,,,,
gege.png,288,50,primary,76.418,60.096,,,,,
gege.png,289,50,primary,82.426,53.122,,,,,
gege.png,290,50,primary,81.928,82.534,,,,,
gege.png,291,50,primary,77.632,68.688,,,,,
gege.png,292,50,primary,102.496,62.727,,,,,
gege.png,"286,287,288,289,290,000,000",50,secondary,509.943,267.031,,,,,
gugu.png,293,51,primary,96.353,64.221,,,,,
gugu.png,294,51,primary,79.753,62.982,,,,,
gugu.png,295,51,primary,67.314,35.366,,,,,
gugu.png,296,51,primary,146.271,88.77,,,,,
gugu.png,297,51,primary,100.85,89.454,,,,,
gugu.png,298,51,primary,77.235,74.561,,,,,
gugu.png,299,51,primary,89.708,64.78,,,,,
gugu.png,"293,294,295,296,297,000,000",51,secondary,446.918,204.93,,,,,
gugu.png,300,52,primary,151.362,154.142,,,,,
gugu.png,301,52,primary,105.458,115.975,,,,,
gugu.png,302,52,primary,62.812,103.033,,,,,
gugu.png,303,52,primary,106.014,62.221,,,,,
gugu.png,304,52,primary,101.312,45.533,,,,,
gugu.png,"300,301,302,303,304",52,secondary,413.054,358.724,,,,,
fofo.png,305,53,primary,81.279,83.638,,,,,
fofo.png,306,53,primary,55.378,59.978,,,,,
fofo.png,307,53,primary,132.071,65.944,,,,,
fofo.png,308,53,primary,89.995,56.618,,,,,
fofo.png,"305,306,307,308",53,secondary,318.606,142.623,,,,,
fofo.png,309,54,primary,126.138,97.048,,,,,
fofo.png,310,54,primary,72.748,186.13,,,,,
fofo.png,311,54,primary,81.295,77.804,,,,,
fofo.png,312,54,primary,78.736,62.221,,,,,
fofo.png,313,54,primary,89.708,61.82,,,,,
fofo.png,"309,310,311,312,313",54,secondary,391.187,184.436,,,,,
yaya.png,314,55,primary,66.929,64.117,,,,,
yaya.png,315,55,primary,85.574,69.436,,,,,
yaya.png,316,55,primary,89.876,66.052,,,,,
yaya.png,317,55,primary,97.911,57.391,,,,,
yaya.png,318,55,primary,109.484,66.669,,,,,
yaya.png,"314,315,316,317,318",55,secondary,340.147,188.789,,,,,
yaya.png,319,56,primary,88.07,61.27,,,,,
yaya.png,320,56,primary,59.471,97.181,,,,,
yaya.png,321,56,primary,61.913,81.803,,,,,
yaya.png,322,56,primary,76.465,72.325,,,,,
yaya.png,323,56,primary,77.511,55.795,,,,,
yaya.png,324,56,primary,77.368,51.488,,,,,
yaya.png,325,56,primary,82.61,53.788,,,,,
yaya.png,"319,320,321,322,323,000,000",56,secondary,452.783,135.931,,,,,
fofe.png,326,57,primary,113.461,50.396,,,,,
fofe.png,327,57,primary,118.942,134.697,,,,,
fofe.png,328,57,primary,100.074,69.102,,,,,
fofe.png,"326,327,328",57,secondary,338.067,201.135,,,,,
fofe.png,329,58,primary,54.959,48.202,,,,,
fofe.png,330,58,primary,149.658,78.906,,,,,
fofe.png,331,58,primary,116.113,91.423,,,,,
fofe.png,332,58,primary,50.228,72.01,,,,,
fofe.png,333,58,primary,88.318,79.401,,,,,
fofe.png,334,58,primary,68.883,46.318,,,,,
fofe.png,335,58,primary,139.706,86.5,,,,,
fofe.png,"329,330,331,332,333,000,000",58,secondary,462.473,172.92,,,,,
papa.png,336,59,primary,94.601,90.891,,,,,
papa.png,337,59,primary,119.024,80.955,,,,,
papa.png,338,59,primary,107.581,108.286,,,,,
papa.png,339,59,primary,159.129,113.926,,,,,
papa.png,340,59,primary,139.697,82.706,,,,,
papa.png,341,59,primary,70.467,72.968,,,,,
papa.png,"336,337,338,339,340,000",59,secondary,594.019,264.211,,,,,
papa.png,342,60,primary,110.1,76.935,,,,,
papa.png,343,60,primary,94.072,102.056,,,,,
papa.png,344,60,primary,71.021,79.731,,,,,
papa.png,345,60,primary,87.711,47.598,,,,,
papa.png,"342,343,344,345",60,secondary,346.262,169.254,,,,,
